epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9349,1.13271,2.03631,1.39175,0.54322,0.48002,0.49815,0.28414,1.50825,2.49099,2.03254,0.000548721,0.000548721,0.000548721
2,73.7295,1.34988,1.6198,1.52461,0.31,0.47526,0.37188,0.20447,1.64161,5.39808,2.07237,0.00108675,0.00108675,0.00108675
3,107.336,1.41975,1.67552,1.58483,0.44903,0.50115,0.43011,0.24571,1.7131,4.94293,2.18084,0.00160704,0.00160704,0.00160704
4,141.784,1.39702,1.5889,1.56362,0.5598,0.4209,0.42675,0.21973,1.80302,3.17901,2.09487,0.00158715,0.00158715,0.00158715
5,175.069,1.3437,1.48882,1.52505,0.59914,0.61795,0.63718,0.40972,1.34253,1.69811,1.63546,0.00156053,0.00156053,0.00156053
6,208.699,1.27572,1.39445,1.4722,0.66884,0.55808,0.64674,0.39022,1.42553,1.69598,1.61228,0.00153391,0.00153391,0.00153391
7,241.757,1.24119,1.35042,1.43797,0.66377,0.53744,0.60044,0.35278,1.42923,1.79732,1.57224,0.00150729,0.00150729,0.00150729
8,273.936,1.21388,1.29835,1.42334,0.73606,0.64384,0.73511,0.48709,1.14184,1.2503,1.41666,0.00148067,0.00148067,0.00148067
9,305.306,1.25549,1.33521,1.44792,0.744,0.71846,0.76524,0.45589,1.31759,1.22343,1.51184,0.00145405,0.00145405,0.00145405
10,336.127,1.20996,1.30966,1.41723,0.67623,0.69465,0.73559,0.4792,1.20592,1.12796,1.44599,0.00142744,0.00142744,0.00142744
11,367.834,1.15448,1.19685,1.38366,0.67994,0.69695,0.72483,0.48738,1.18455,1.27711,1.46054,0.00140082,0.00140082,0.00140082
12,403.075,1.14684,1.18678,1.37973,0.73468,0.65706,0.70894,0.50601,1.13262,1.32313,1.4057,0.0013742,0.0013742,0.0013742
13,435.73,1.12221,1.11961,1.353,0.76501,0.686,0.77657,0.54122,1.07632,0.95337,1.35696,0.00134758,0.00134758,0.00134758
14,468.568,1.13388,1.14698,1.36456,0.81954,0.71333,0.81387,0.54332,1.17169,0.95363,1.41656,0.00132096,0.00132096,0.00132096
15,501.625,1.10456,1.10575,1.34639,0.78713,0.72088,0.80555,0.55372,1.10278,0.92747,1.37616,0.00129434,0.00129434,0.00129434
16,533.28,1.06449,1.05748,1.31888,0.79813,0.81873,0.86015,0.60931,1.00716,0.81653,1.28962,0.00126773,0.00126773,0.00126773
17,565.545,1.0842,1.04159,1.33903,0.82488,0.81756,0.841,0.58054,1.06769,0.80554,1.3465,0.00124111,0.00124111,0.00124111
18,597.405,1.04601,0.9906,1.29152,0.84564,0.71482,0.8422,0.60961,1.02444,0.80343,1.32462,0.00121449,0.00121449,0.00121449
19,628.762,1.03109,0.98095,1.28756,0.8616,0.76346,0.86422,0.6302,0.9802,0.7374,1.24356,0.00118787,0.00118787,0.00118787
20,665.007,1.01412,0.95246,1.27776,0.8344,0.7917,0.87555,0.61212,1.01549,0.75514,1.26464,0.00116125,0.00116125,0.00116125
21,696.123,1.00259,0.94677,1.27147,0.80579,0.81184,0.84659,0.62345,0.94156,0.82887,1.2362,0.00113464,0.00113464,0.00113464
22,727.646,1.01062,0.95514,1.28054,0.85831,0.81528,0.86637,0.63047,0.98104,0.76804,1.2582,0.00110802,0.00110802,0.00110802
23,760.111,0.97716,0.88561,1.243,0.86447,0.79795,0.88727,0.64175,1.00017,0.68745,1.26682,0.0010814,0.0010814,0.0010814
24,793.009,0.98963,0.92015,1.26327,0.81547,0.72448,0.81001,0.5979,0.99463,0.93241,1.26241,0.00105478,0.00105478,0.00105478
25,825.665,0.98084,0.9127,1.2501,0.82286,0.83508,0.88713,0.64536,0.95642,0.71028,1.23282,0.00102816,0.00102816,0.00102816
26,858.23,0.96254,0.86926,1.23737,0.82483,0.84336,0.8814,0.63588,0.99812,0.68034,1.24636,0.00100154,0.00100154,0.00100154
27,890.247,0.95212,0.85404,1.22783,0.79885,0.84064,0.8826,0.64661,0.93804,0.71797,1.22752,0.000974926,0.000974926,0.000974926
28,921.4,0.95158,0.83434,1.22408,0.82506,0.79615,0.8774,0.6449,0.94558,0.67895,1.21151,0.000948308,0.000948308,0.000948308
29,956.38,0.9731,0.85446,1.23831,0.89892,0.81689,0.91216,0.66923,0.94358,0.64263,1.20179,0.00092169,0.00092169,0.00092169
30,987.407,0.91845,0.80962,1.20059,0.81277,0.84815,0.88569,0.65376,0.93452,0.66743,1.21813,0.000895071,0.000895071,0.000895071
31,1020.05,0.91647,0.80771,1.21562,0.8557,0.85269,0.91664,0.66766,0.9376,0.62311,1.21823,0.000868453,0.000868453,0.000868453
32,1052.56,0.90563,0.78031,1.21297,0.83423,0.80997,0.86754,0.6418,0.94614,0.6955,1.23415,0.000841835,0.000841835,0.000841835
33,1085.09,0.9123,0.80097,1.20909,0.84558,0.80829,0.87062,0.64997,0.89392,0.72973,1.17821,0.000815217,0.000815217,0.000815217
34,1117.48,0.90054,0.78221,1.20691,0.83434,0.82231,0.88353,0.65705,0.91251,0.65253,1.19322,0.000788599,0.000788599,0.000788599
35,1150.49,0.88695,0.72581,1.18321,0.79861,0.85679,0.88592,0.65129,0.95196,0.64188,1.22642,0.00076198,0.00076198,0.00076198
36,1182.86,0.88072,0.71978,1.18931,0.88224,0.83479,0.90265,0.67979,0.89384,0.63289,1.17302,0.000735362,0.000735362,0.000735362
37,1218.49,0.88477,0.73873,1.19218,0.87055,0.84782,0.91252,0.67949,0.91463,0.61509,1.18754,0.000708744,0.000708744,0.000708744
38,1250.67,0.87912,0.71679,1.17742,0.85811,0.87337,0.92265,0.69982,0.86515,0.56839,1.14764,0.000682126,0.000682126,0.000682126
39,1281.97,0.84018,0.69592,1.15741,0.87909,0.83756,0.91236,0.69295,0.86853,0.54463,1.16592,0.000655507,0.000655507,0.000655507
40,1313.36,0.85358,0.69469,1.16186,0.8579,0.84281,0.9191,0.69865,0.85191,0.56509,1.14342,0.000628889,0.000628889,0.000628889
41,1345.61,0.8429,0.67164,1.16622,0.89514,0.86744,0.92556,0.69638,0.88759,0.55358,1.16336,0.000602271,0.000602271,0.000602271
42,1377.58,0.86836,0.69995,1.17435,0.86079,0.89443,0.92915,0.70476,0.86428,0.52828,1.15664,0.000575653,0.000575653,0.000575653
43,1410.03,0.82675,0.64389,1.15325,0.91761,0.86511,0.92316,0.70313,0.88846,0.5333,1.16531,0.000549035,0.000549035,0.000549035
44,1442.72,0.83688,0.6715,1.15176,0.87597,0.88747,0.92543,0.70087,0.86319,0.55786,1.14074,0.000522416,0.000522416,0.000522416
45,1475.12,0.82481,0.65568,1.15118,0.87478,0.90282,0.93286,0.69922,0.89504,0.5132,1.16527,0.000495798,0.000495798,0.000495798
46,1510.53,0.8106,0.63197,1.14259,0.89479,0.90051,0.94313,0.71657,0.85615,0.49761,1.13746,0.00046918,0.00046918,0.00046918
47,1543.12,0.81421,0.65017,1.15304,0.91098,0.87333,0.93806,0.71957,0.85074,0.48921,1.14297,0.000442562,0.000442562,0.000442562
48,1575.06,0.79041,0.61257,1.12962,0.89999,0.90428,0.94133,0.70888,0.85953,0.50695,1.14348,0.000415943,0.000415943,0.000415943
49,1606.36,0.78135,0.62315,1.12562,0.88243,0.89735,0.93715,0.71372,0.84442,0.52912,1.13696,0.000389325,0.000389325,0.000389325
50,1638.26,0.77365,0.60228,1.124,0.89637,0.88641,0.94597,0.72684,0.83635,0.50111,1.11274,0.000362707,0.000362707,0.000362707
